ds,yhat,yhat_lower,yhat_upper,production_type
2025-02-01,9.396474202438753,8.411579971749077,10.377896204065737,Geothermal
2025-03-01,9.035527399712986,8.081427739286434,10.052832922791533,Geothermal
2025-03-31,8.908995440137074,7.936998455043633,9.92406495069589,Geothermal
2025-04-30,8.536385069275362,7.518671769776354,9.528079958880522,Geothermal
2025-05-31,8.102172276589013,7.06521326706174,9.1016405359317,Geothermal
2025-06-30,7.930398739350397,6.873802294901001,8.92934869443316,Geothermal
2025-07-31,7.972392310686596,6.953602756717255,8.988015790367005,Geothermal
2025-08-31,8.251094513752491,7.266068795941269,9.3001283165106,Geothermal
2025-09-30,8.458821776555212,7.442504037370318,9.417560719061791,Geothermal
2025-10-31,8.753946578982855,7.758430850802275,9.755307925456364,Geothermal
2025-11-30,8.908977346789207,7.810494276165252,9.923101824177971,Geothermal
2025-12-31,9.256683958885349,8.223727918448304,10.332527293101439,Geothermal
2026-01-31,9.130044285755458,8.1712652143212,10.1373557674547,Geothermal
2026-02-28,9.26464145219215,8.211686580668516,10.302621945620237,Geothermal
2010-01-01,5803.081640178507,4554.108496740627,6935.8812482001285,Hydro
2010-02-01,6018.429916440343,4932.889022358424,7116.160271349055,Hydro
2010-03-01,7452.524566153224,6357.809893627445,8578.415774885047,Hydro
2010-04-01,6007.5660745883515,4850.924754922881,7095.85781228726,Hydro
2010-05-01,6927.217281768022,5849.668636844727,8092.242447232435,Hydro
2010-06-01,7208.422089875232,6053.292681974436,8361.574923154463,Hydro
2010-07-01,6281.82341695156,5104.740393927921,7335.953223199917,Hydro
2010-08-01,4782.81322294015,3645.4757251326128,5893.057261272586,Hydro
2010-09-01,3365.8357803385743,2233.5674773522537,4550.702602204265,Hydro
2010-10-01,4338.166010470995,3152.537526081187,5420.003220265092,Hydro
2010-11-01,5404.152987583386,4244.16659579721,6549.037726158094,Hydro
2010-12-01,5622.656043366401,4497.458041252299,6769.694970043286,Hydro
2011-01-01,6801.443220253021,5739.852387579836,7909.258199021857,Hydro
2011-02-01,6316.16172823522,5187.9991983902555,7484.797954821411,Hydro
2011-03-01,6555.356673050332,5438.87452144999,7773.745812307377,Hydro
2011-04-01,6306.138011667144,5193.875185489518,7446.762363948037,Hydro
2011-05-01,7380.663788150036,6219.579899938581,8477.86426571696,Hydro
2011-06-01,6997.949174291449,5921.773377992748,8153.985755634618,Hydro
2011-07-01,5261.394728253291,4051.9809062701456,6409.715474243859,Hydro
2011-08-01,4878.097841193275,3786.486325675334,6008.5666146553085,Hydro
2011-09-01,3829.4225810399694,2630.592530515285,4916.699102376884,Hydro
2011-10-01,3253.05736351027,2106.7506748067813,4380.412517805502,Hydro
2011-11-01,4635.062556255782,3544.0720811953183,5762.919316430172,Hydro
