ds,yhat,yhat_lower,yhat_upper
2020-01-01,46768.296652007135,44730.38695289669,48844.87409569232
2020-02-01,43148.68292745901,40921.37590509979,45175.8522920459
2020-03-01,40675.59360847779,38647.63707901293,42905.56211782819
2020-04-01,34540.0339821455,32387.30300489563,36686.400409800735
2020-05-01,31930.885863407522,29794.301189606198,33966.96920803044
2020-06-01,30166.90409036422,28094.76656417158,32166.53976610112
2020-07-01,31388.940364433023,29326.32535006173,33530.21455770661
2020-08-01,29436.183218988263,27451.177496398526,31643.048153776675
2020-09-01,30093.737082233678,27962.556804090324,32208.307237845598
2020-10-01,34022.208678579635,32023.460902234212,36061.906467828696
2020-11-01,38944.387880143375,37022.493330937075,40963.93249811441
2020-12-01,45015.54114289759,43021.75596736038,47075.10670078194
2021-01-01,48213.78239544415,46106.36880806163,50437.46279702922
2021-02-01,41157.89550160792,38992.11970156077,43265.30540670247
2021-03-01,40625.97057610872,38542.178021387335,42693.593819385154
2021-04-01,33869.25078869359,31799.178166763413,35982.6732426076
2021-05-01,31453.43761542278,29375.429182420674,33632.01064749789
2021-06-01,29720.21289409816,27705.977775272255,31718.993593356317
2021-07-01,30953.36704481253,28847.14053656259,33114.245193620605
2021-08-01,28955.67163301693,26991.247579097355,31078.404080046752
2021-09-01,29854.76962115295,27736.26360592963,31720.006984636882
2021-10-01,33571.06925087745,31423.139307939753,35693.88188852999
2021-11-01,38572.562341626406,36369.26111183092,40670.141497967656
2021-12-01,44273.6037104471,42258.45940735253,46309.88630779399
2022-01-01,47056.67300338827,45046.88183610652,49350.89925611932
2022-02-01,41117.95282733403,39036.33919183045,43130.480908929814
2022-03-01,40394.8255469471,38143.55964626886,42581.87054651121
2022-04-01,32983.51479155157,30816.474591762188,35095.037585057726
2022-05-01,30734.760001338604,28668.536029857263,32807.033000951626
2022-06-01,28996.2973883593,26896.128567835338,31132.150634782498
2022-07-01,30204.33185652184,28075.99220358116,32134.483585691407
2022-08-01,28128.785259028984,25999.151859304104,30325.783094829345
2022-09-01,29276.474054769653,27145.344662598633,31487.36044626248
2022-10-01,32784.42157951964,30663.671375510417,34794.757022922415
2022-11-01,37870.86355522059,35808.1916347985,39907.644944640306
2022-12-01,43208.94574147743,41132.73920622522,45370.698054647895
2023-01-01,45604.96267794944,43553.83963425716,47745.27624546101
2023-02-01,40798.428233201266,38879.93265295988,43006.221911588196
2023-03-01,39890.03491467323,37673.253510602364,42051.14660176121
2023-04-01,31864.81079776523,29710.686931017422,33961.58471575722
2023-05-01,29827.795558915335,27755.618883038867,31823.77280442925
2023-06-01,28121.395595248836,25957.305110398025,30324.419256570192
2023-07-01,29339.067822350906,27401.353095926,31362.48365067078
