Country,Time,Balance,Product,Value,Unit
France,24-Jul,Net Electricity Production,Not Specified,116.4198,GWh
France,24-Jul,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",12051.6236,GWh
France,24-Jul,Total Imports,Electricity,950.3397,GWh
France,24-Jul,Total Exports,Electricity,9567.9144,GWh
France,24-Jul,Used for pumped storage,Electricity,430.7641,GWh
France,24-Jul,Distribution Losses,Electricity,2440.6929,GWh
France,24-Jul,Final Consumption (Calculated),Electricity,30161.6536,GWh
France,24-Jul,Net Electricity Production,Wind,2055.4137,GWh
Germany,24-Jul,Net Electricity Production,Electricity,36596.2021,GWh
Germany,24-Jul,Net Electricity Production,Hydro,2738.9593,GWh
Germany,24-Jul,Net Electricity Production,Total Combustible Fuels,16039.0269,GWh
Germany,24-Jul,Net Electricity Production,"Coal, Peat and Manufactured Gases",7028.015,GWh
Germany,24-Jul,Net Electricity Production,Oil and Petroleum Products,467.311,GWh
Germany,24-Jul,Net Electricity Production,Natural Gas,4687.5161,GWh
Germany,24-Jul,Net Electricity Production,Combustible Renewables,3332.9134,GWh
Germany,24-Jul,Net Electricity Production,Other Combustible Non-Renewables,523.2714,GWh
Germany,24-Jul,Net Electricity Production,Geothermal,7.4731,GWh
Germany,24-Jul,Net Electricity Production,Solar,10708.847,GWh
Germany,24-Jul,Net Electricity Production,Not Specified,127.5978,GWh
Germany,24-Jul,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",23762.4908,GWh
Germany,24-Jul,Total Imports,Electricity,8434.1958,GWh
Germany,24-Jul,Total Exports,Electricity,3761.6667,GWh
Germany,24-Jul,Used for pumped storage,Electricity,977.0832,GWh
Germany,24-Jul,Distribution Losses,Electricity,1701.3429,GWh
Germany,24-Jul,Final Consumption (Calculated),Electricity,38590.305,GWh
Germany,24-Jul,Net Electricity Production,Wind,6974.2981,GWh
France,24-Jun,Net Electricity Production,Electricity,39897.2668,GWh
France,24-Jun,Net Electricity Production,Nuclear,26367.2917,GWh
France,24-Jun,Net Electricity Production,Hydro,6826.2015,GWh
France,24-Jun,Net Electricity Production,Total Combustible Fuels,1488.1847,GWh
France,24-Jun,Net Electricity Production,Natural Gas,476.9127,GWh
France,24-Jun,Net Electricity Production,Combustible Renewables,834.3945,GWh
France,24-Jun,Net Electricity Production,Geothermal,9.6698,GWh
France,24-Jun,Net Electricity Production,Other Combustible Non-Renewables,176.8775,GWh
France,24-Jun,Net Electricity Production,Solar,2765.159,GWh
France,24-Jun,Net Electricity Production,Other Renewables,36.9812,GWh
France,24-Jun,Net Electricity Production,Not Specified,116.4198,GWh
France,24-Jun,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",12759.7652,GWh
France,24-Jun,Total Imports,Electricity,681.9936,GWh
France,24-Jun,Total Exports,Electricity,9138.4559,GWh
France,24-Jun,Used for pumped storage,Electricity,580.9957,GWh
France,24-Jun,Distribution Losses,Electricity,2452.3041,GWh
France,24-Jun,Final Consumption (Calculated),Electricity,28407.5047,GWh
France,24-Jun,Net Electricity Production,Wind,2287.3592,GWh
Germany,24-Jun,Net Electricity Production,Electricity,35995.1588,GWh
Germany,24-Jun,Net Electricity Production,Hydro,2515.2287,GWh
Germany,24-Jun,Net Electricity Production,Total Combustible Fuels,16117.8169,GWh
Germany,24-Jun,Net Electricity Production,"Coal, Peat and Manufactured Gases",7077.6313,GWh
Germany,24-Jun,Net Electricity Production,Oil and Petroleum Products,483.6627,GWh
Germany,24-Jun,Net Electricity Production,Natural Gas,4862.9611,GWh
Germany,24-Jun,Net Electricity Production,Combustible Renewables,3184.699,GWh
Germany,24-Jun,Net Electricity Production,Geothermal,8.9677,GWh
Germany,24-Jun,Net Electricity Production,Other Combustible Non-Renewables,508.8628,GWh
Germany,24-Jun,Net Electricity Production,Solar,10209.4498,GWh
Germany,24-Jun,Net Electricity Production,Not Specified,147.7021,GWh
Germany,24-Jun,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",22914.3388,GWh
Germany,24-Jun,Total Imports,Electricity,7364.2632,GWh
Germany,24-Jun,Total Exports,Electricity,3644.5241,GWh
Germany,24-Jun,Used for pumped storage,Electricity,793.9759,GWh
Germany,24-Jun,Distribution Losses,Electricity,1626.1912,GWh
Germany,24-Jun,Final Consumption (Calculated),Electricity,37294.7308,GWh
Germany,24-Jun,Net Electricity Production,Wind,6995.9936,GWh
France,24-May,Net Electricity Production,Electricity,42593.6774,GWh
France,24-May,Net Electricity Production,Nuclear,27846.0791,GWh
France,24-May,Net Electricity Production,Hydro,7925.8375,GWh
France,24-May,Net Electricity Production,Total Combustible Fuels,1617.8526,GWh
France,24-May,Net Electricity Production,Natural Gas,486.968,GWh
France,24-May,Net Electricity Production,Combustible Renewables,954.0071,GWh
France,24-May,Net Electricity Production,Geothermal,9.6698,GWh
France,24-May,Net Electricity Production,Other Combustible Non-Renewables,176.8775,GWh
France,24-May,Net Electricity Production,Solar,2564.0129,GWh
France,24-May,Net Electricity Production,Other Renewables,36.9812,GWh
France,24-May,Net Electricity Production,Not Specified,116.4198,GWh
France,24-May,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",13967.333,GWh
France,24-May,Total Imports,Electricity,864.3771,GWh
France,24-May,Total Exports,Electricity,10215.4558,GWh
France,24-May,Used for pumped storage,Electricity,840.4177,GWh
France,24-May,Distribution Losses,Electricity,2770.3476,GWh
France,24-May,Final Consumption (Calculated),Electricity,29631.8334,GWh
France,24-May,Net Electricity Production,Wind,2476.8245,GWh
Germany,24-May,Net Electricity Production,Electricity,36408.5467,GWh
Germany,24-May,Net Electricity Production,Total Combustible Fuels,16121.7968,GWh
Germany,24-May,Net Electricity Production,Hydro,2749.3124,GWh
Germany,24-May,Net Electricity Production,"Coal, Peat and Manufactured Gases",6279.2585,GWh
Germany,24-May,Net Electricity Production,Oil and Petroleum Products,520.8422,GWh
